No,Jenis Kelamin,Usia,Status Tugas,Nilai,Hasil
1,Laki-laki,12,Selesai,80,Tidak Stress
2,Laki-laki,14,Tidak Selesai,55,Stress
3,Perempuan,14,Tidak Selesai,50,Stress
4,Perempuan,12,Selesai,85,Tidak Stress
5,Laki-laki,15,Tidak Selesai,45,Stress
6,Laki-laki,13,Selesai,87,Tidak Stress
7,Laki-laki,11,Selesai,80,Tidak Stress
8,Laki-laki,12,Selesai,90,Tidak Stress
9,Laki-laki,12,Selesai,90,Tidak Stress
10,Perempuan,13,Selesai,90,Tidak Stress
11,Perempuan,14,Tidak Selesai,45,Stress
12,Perempuan,13,Selesai,80,Tidak Stress
13,Laki-laki,13,Selesai,87,Tidak Stress
14,Perempuan,14,Selesai,85,Tidak Stress
15,Perempuan,14,Tidak Selesai,55,Stress
16,Perempuan,12,Tidak Selesai,50,Stress
17,Laki-laki,12,Selesai,90,Tidak Stress
18,Laki-laki,11,Selesai,90,Tidak Stress
19,Perempuan,12,Selesai,90,Tidak Stress
20,Perempuan,13,Tidak Selesai,45,Stress
